Freq.	V(out)
8.49534941260963e+02	(-2.39923802363034e-02dB,-1.39079202654758e+01°)
8.69323152089986e+02	(-4.84013993301697e-01dB,-2.76286266034215e+01°)
8.89572289561099e+02	(-1.10197760299420e+00dB,-4.17675942456873e+01°)
9.10293090035018e+02	(-1.89206927492109e+00dB,-5.61080007165384e+01°)
9.31496539954427e+02	(-2.85603350677327e+00dB,-7.04091493307651e+01°)
9.53193881669135e+02	(-3.98293313453492e+00dB,-8.44479121345201e+01°)
9.75396619396916e+02	(-5.25242863610953e+00dB,-9.80524992106869e+01°)
9.98116525323202e+02	(-6.63981152991937e+00dB,-1.11116798416172e+02°)
1.02136564584285e+03	(-8.12059071222734e+00dB,-1.23595576172276e+02°)
1.04515630794729e+03	(-9.67338595509527e+00dB,-1.35488928716186e+02°)
1.06950112576049e+03	(-1.12810649967904e+01dB,-1.46824825154517e+02°)
1.09441300722709e+03	(-1.29306820207936e+01dB,-1.57644864150735e+02°)
1.11990516095639e+03	(-1.46128338158257e+01dB,-1.67994679505690e+02°)
1.14599110322572e+03	(-1.63208591078252e+01dB,-1.77918405896821e+02°)
1.17268466514697e+03	(-1.80501001027406e+01dB,1.72543996076920e+02°)
1.20000000000000e+03	(-1.97973061613662e+01dB,1.63357660060584e+02°)
1.22795159073690e+03	(-2.15601871113306e+01dB,1.54492776263956e+02°)
1.25655425766108e+03	(-2.33370943351209e+01dB,1.45924100042492e+02°)
1.28582316628512e+03	(-2.51268006401536e+01dB,1.37630297043824e+02°)
1.31577383537182e+03	(-2.69283522367976e+01dB,1.29593277904701e+02°)
1.34642214516235e+03	(-2.87409714242214e+01dB,1.21797594156947e+02°)
1.37778434579625e+03	(-3.05639939844981e+01dB,1.14229921877485e+02°)
1.40987706592743e+03	(-3.23968298186282e+01dB,1.06878636263996e+02°)
1.44271732154089e+03	(-3.42389388369789e+01dB,9.97334693942080e+01°)
1.47632252497485e+03	(-3.60898166571235e+01dB,9.27852392729627e+01°)
1.51071049415300e+03	(-3.79489864605204e+01dB,8.60256376006865e+01°)
1.54589946203176e+03	(-3.98159946053000e+01dB,7.94470646661398e+01°)
1.58190808626768e+03	(-4.16904084409483e+01dB,7.30425013773545e+01°)
1.61875545910998e+03	(-4.35718153400823e+01dB,6.68054101826413e+01°)
1.65646111752346e+03	(-4.54598223391551e+01dB,6.07296582531192e+01°)
1.69504505354730e+03	(-4.73540560252739e+01dB,5.48094577003389e+01°)
1.73452772489511e+03	(-4.92541624633644e+01dB,4.90393187642330e+01°)
1.77493006580184e+03	(-5.11598070563201e+01dB,4.34140128417030e+01°)
1.81627349812344e+03	(-5.30706742907575e+01dB,3.79285429638582e+01°)
1.85857994269497e+03	(-5.49864673561730e+01dB,3.25781199035349e+01°)
1.90187183095333e+03	(-5.69069076447429e+01dB,2.73581425360152e+01°)
1.94617211683071e+03	(-5.88317341486957e+01dB,2.22641814127161e+01°)
1.99150428892507e+03	(-6.07607027759923e+01dB,1.72919647632470e+01°)
2.03789238295409e+03	(-6.26935856054613e+01dB,1.24373663344365e+01°)
2.08536099449924e+03	(-6.46301701010987e+01dB,7.69639462051425e+00°)
2.13393529204670e+03	(-6.65702583029214e+01dB,3.06518314811276e+00°)
2.18364103033197e+03	(-6.85136660091213e+01dB,-1.46001843804908e+00°)
2.23450456399543e+03	(-7.04602219616288e+01dB,-5.88285268129110e+00°)
2.28655286155589e+03	(-7.24097670447291e+01dB,-1.02068621572399e+01°)
2.33981351970965e+03	(-7.43621535041670e+01dB,-1.44354969680652e+01°)
2.39431477796265e+03	(-7.63172441922440e+01dB,-1.85721219727983e+01°)
2.45008553360342e+03	(-7.82749118427543e+01dB,-2.26200238207545e+01°)
