Freq.	V(out)
1.35859492196939e+02	(-3.99677565790220e+01dB,-1.75614160948132e+02°)
1.39024066299949e+02	(-4.03518935258839e+01dB,-1.75932253157297e+02°)
1.42262352803113e+02	(-4.07346367579166e+01dB,-1.76252339558607e+02°)
1.45576068688798e+02	(-4.11158623981585e+01dB,-1.76574828037311e+02°)
1.48966970933028e+02	(-4.14954358982631e+01dB,-1.76900132299689e+02°)
1.52436857437059e+02	(-4.18732112004985e+01dB,-1.77228670878154e+02°)
1.55987567980643e+02	(-4.22490298558205e+01dB,-1.77560865848106e+02°)
1.59620985197509e+02	(-4.26227201003785e+01dB,-1.77897141215887e+02°)
1.63339035573561e+02	(-4.29940958941233e+01dB,-1.78237920933984e+02°)
1.67143690468322e+02	(-4.33629559267468e+01dB,-1.78583626496826e+02°)
1.71036967160177e+02	(-4.37290825980379e+01dB,-1.78934674068276e+02°)
1.75020929915963e+02	(-4.40922409818988e+01dB,-1.79291471090638e+02°)
1.79097691085466e+02	(-4.44521777857602e+01dB,-1.79654412324921e+02°)
1.83269412221421e+02	(-4.48086203199696e+01dB,1.79976124726291e+02°)
1.87538305225592e+02	(-4.51612754949046e+01dB,1.79599785058192e+02°)
1.91906633521558e+02	(-4.55098288670613e+01dB,1.79216242103673e+02°)
1.96376713254801e+02	(-4.58539437591549e+01dB,1.78825204402270e+02°)
2.00950914520765e+02	(-4.61932604832596e+01dB,1.78426423012716e+02°)
2.05631662621508e+02	(-4.65273957001208e+01dB,1.78019699665199e+02°)
2.10421439351629e+02	(-4.68559419518317e+01dB,1.77604895625582e+02°)
2.15322784314152e+02	(-4.71784674088895e+01dB,1.77181941214361e+02°)
2.20338296267052e+02	(-4.74945158759837e+01dB,1.76750845887445e+02°)
2.25470634501155e+02	(-4.78036071034191e+01dB,1.76311708744197e+02°)
2.30722520250127e+02	(-4.81052374524876e+01dB,1.75864729280733e+02°)
2.36096738133309e+02	(-4.83988809629803e+01dB,1.75410218154370e+02°)
2.41596137632159e+02	(-4.86839908689646e+01dB,1.74948607669822e+02°)
2.47223634601085e+02	(-4.89600016045270e+01dB,1.74480461641692e+02°)
2.52982212813468e+02	(-4.92263313340226e+01dB,1.74006484234263e+02°)
2.58874925543701e+02	(-4.94823850311963e+01dB,1.73527527332455e+02°)
2.64904897186071e+02	(-4.97275581181928e+01dB,1.73044595962096e+02°)
2.71075324911360e+02	(-4.99612406589971e+01dB,1.72558851258456e+02°)
2.77389480362023e+02	(-5.01828220825235e+01dB,1.72071610484977e+02°)
2.83850711386858e+02	(-5.03916963889829e+01dB,1.71584343634333e+02°)
2.90462443816079e+02	(-5.05872677701670e+01dB,1.71098666205667e+02°)
2.97228183277736e+02	(-5.07689565510819e+01dB,1.70616327847595e+02°)
3.04151517056446e+02	(-5.09362053383467e+01dB,1.70139196686569e+02°)
3.11236115995422e+02	(-5.10884852415318e+01dB,1.69669239321786e+02°)
3.18485736442795e+02	(-5.12253020187403e+01dB,1.69208496654932e+02°)
3.25904222243288e+02	(-5.13462019887086e+01dB,1.68759055926421e+02°)
3.33495506776266e+02	(-5.14507775496926e+01dB,1.68323019536990e+02°)
3.41263615041271e+02	(-5.15386721511131e+01dB,1.67902471430246e+02°)
3.49212665792130e+02	(-5.16095845775000e+01dB,1.67499441982562e+02°)
3.57346873720768e+02	(-5.16632724251597e+01dB,1.67115872476951e+02°)
3.65670551691897e+02	(-5.16995546790738e+01dB,1.66753580314784e+02°)
3.74188113029755e+02	(-5.17183133290994e+01dB,1.66414226134634e+02°)
3.82904073858107e+02	(-5.17194939985546e+01dB,1.66099283957544e+02°)
3.91823055494754e+02	(-5.17031055924952e+01dB,1.65810015364132e+02°)
4.00949786901814e+02	(-5.16692190052855e+01dB,1.65547448538491e+02°)
4.10289107193088e+02	(-5.16179649555692e+01dB,1.65312362798660e+02°)
4.19845968199815e+02	(-5.15495310400449e+01dB,1.65105278988916e+02°)
4.29625437096199e+02	(-5.14641581146751e+01dB,1.64926455852537e+02°)
4.39632699086096e+02	(-5.13621361228205e+01dB,1.64775892252364e+02°)
4.49873060152275e+02	(-5.12437994945078e+01dB,1.64653334876281e+02°)
4.60351949869722e+02	(-5.11095222402611e+01dB,1.64558290868523e+02°)
4.71074924284467e+02	(-5.09597128575765e+01dB,1.64490044674870e+02°)
4.82047668859482e+02	(-5.07948091592697e+01dB,1.64447678285159e+02°)
4.93276001489181e+02	(-5.06152731216572e+01dB,1.64430094001355e+02°)
5.00000000000000e+02	(-5.05030672800052e+01dB,1.64430825579626e+02°)
