Freq.	V(out)
1.12562229150883e+01	(-2.69129451952803e+00dB,1.33780674190098e+02°)
1.15184140285599e+01	(-3.46229894765828e+00dB,1.27104016387564e+02°)
1.17867123576136e+01	(-4.29912523839106e+00dB,1.20760560520282e+02°)
1.20612601575750e+01	(-5.18955804165044e+00dB,1.14789944104979e+02°)
1.23422029973216e+01	(-6.12160769536171e+00dB,1.09209252532543e+02°)
1.26296898364657e+01	(-7.08438542782601e+00dB,1.04017525055669e+02°)
1.29238731043348e+01	(-8.06856150115210e+00dB,9.92009530939637e+01°)
1.32249087807915e+01	(-9.06649315954324e+00dB,9.47376517483501e+01°)
1.35329564789361e+01	(-1.00721392372460e+01dB,9.06014720773972e+01°)
1.38481795297358e+01	(-1.10808640075892e+01dB,8.67647508211409e+01°)
1.41707450686244e+01	(-1.20892025452615e+01dB,8.32001256199043e+01°)
1.45008241241204e+01	(-1.30946305842078e+01dB,7.98816264982950e+01°)
1.48385917085081e+01	(-1.40953601029519e+01dB,7.67852531767022e+01°)
1.51842269106317e+01	(-1.50901681293235e+01dB,7.38892111808772e+01°)
1.55379129908502e+01	(-1.60782586877234e+01dB,7.11739355224050e+01°)
1.58998374782051e+01	(-1.70591542728416e+01dB,6.86219914616082e+01°)
1.62701922698502e+01	(-1.80326120309670e+01dB,6.62179113974872e+01°)
1.66491737327982e+01	(-1.89985598362271e+01dB,6.39480050673181e+01°)
1.70369828080372e+01	(-1.99570479919317e+01dB,6.18001653543719e+01°)
1.74338251170722e+01	(-2.09082130008518e+01dB,5.97636822644002e+01°)
1.78399110709482e+01	(-2.18522505527578e+01dB,5.78290714763044e+01°)
1.82554559818131e+01	(-2.27893954968650e+01dB,5.59879201144968e+01°)
1.86806801770791e+01	(-2.37199070789718e+01dB,5.42327501891950e+01°)
1.91158091162431e+01	(-2.46440581314715e+01dB,5.25568989346173e+01°)
1.95610735104281e+01	(-2.55621272227071e+01dB,5.09544146664165e+01°)
2.00167094447097e+01	(-2.64743930165626e+01dB,4.94199665351369e+01°)
2.04829585032915e+01	(-2.73811302790685e+01dB,4.79487665178679e+01°)
2.09600678975956e+01	(-2.82826071092860e+01dB,4.65365020698550e+01°)
2.14482905973384e+01	(-2.91790830775072e+01dB,4.51792779934029e+01°)
2.19478854646576e+01	(-3.00708080332547e+01dB,4.38735662385144e+01°)
2.24591173913647e+01	(-3.09580214051762e+01dB,4.26161625087025e+01°)
2.29822574393943e+01	(-3.18409518596451e+01dB,4.14041486957938e+01°)
2.35175829845245e+01	(-3.27198172184172e+01dB,4.02348603042241e+01°)
2.40653778634450e+01	(-3.35948245608704e+01dB,3.91058581465442e+01°)
2.46259325242516e+01	(-3.44661704552569e+01dB,3.80149036975498e+01°)
2.51995441804454e+01	(-3.53340412776060e+01dB,3.69599375856150e+01°)
2.57865169685190e+01	(-3.61986135875918e+01dB,3.59390607778233e+01°)
2.63871621092143e+01	(-3.70600545387150e+01dB,3.49505180819105e+01°)
2.70017980725352e+01	(-3.79185223061832e+01dB,3.39926836443817e+01°)
2.76307507466053e+01	(-3.87741665204180e+01dB,3.30640481718777e+01°)
2.82743536104574e+01	(-3.96271286975202e+01dB,3.21632076431937e+01°)
2.89329479108491e+01	(-4.04775426605819e+01dB,3.12888533134571e+01°)
2.96068828431959e+01	(-4.13255349476428e+01dB,3.04397628407802e+01°)
3.02965157367197e+01	(-4.21712252035097e+01dB,2.96147923900791e+01°)
3.10022122439089e+01	(-4.30147265537105e+01dB,2.88128695893807e+01°)
3.17243465343925e+01	(-4.38561459596286e+01dB,2.80329872314165e+01°)
3.24633014933301e+01	(-4.46955845544277e+01dB,2.72741976281386e+01°)
3.32194689244220e+01	(-4.55331379597798e+01dB,2.65356075384056e+01°)
3.39932497576493e+01	(-4.63688965836949e+01dB,2.58163735998061e+01°)
3.47850542618520e+01	(-4.72029458999437e+01dB,2.51156982047497e+01°)
