Freq.	V(out)
1.58190808626768e+03	(-6.95071000878681e-01dB,-1.64312444347320e+02°)
1.61875545910998e+03	(-9.45295039273337e-01dB,-1.69390068411040e+02°)
1.65646111752346e+03	(-1.23169323256838e+00dB,-1.74572529772483e+02°)
1.69504505354730e+03	(-1.55680983299860e+00dB,-1.79838476278502e+02°)
1.73452772489511e+03	(-1.92268015912414e+00dB,1.74837025392732e+02°)
1.77493006580184e+03	(-2.33068682215671e+00dB,1.69481725332008e+02°)
1.81627349812344e+03	(-2.78145211057291e+00dB,1.64125128471531e+02°)
1.85857994269497e+03	(-3.27478256254788e+00dB,1.58797231642523e+02°)
1.90187183095333e+03	(-3.80967454832236e+00dB,1.53527196432419e+02°)
1.94617211683071e+03	(-4.38438019057786e+00dB,1.48342108220250e+02°)
1.99150428892507e+03	(-4.99652362569485e+00dB,1.43265954212068e+02°)
2.03789238295409e+03	(-5.64325084275060e+00dB,1.38318910248956e+02°)
2.08536099449924e+03	(-6.32139355645895e+00dB,1.33516970710455e+02°)
2.13393529204670e+03	(-7.02762883052021e+00dB,1.28871902975124e+02°)
2.18364103033197e+03	(-7.75862037586164e+00dB,1.24391469022139e+02°)
2.23450456399543e+03	(-8.51113298584347e+00dB,1.20079836775313e+02°)
2.28655286155589e+03	(-9.28211694263993e+00dB,1.15938101438502e+02°)
2.33981351970965e+03	(-1.00687634604222e+01dB,1.11964847276815e+02°)
2.39431477796265e+03	(-1.08685349473477e+01dB,1.08156696950085e+02°)
2.45008553360342e+03	(-1.16791751584204e+01dB,1.04508813442159e+02°)
2.50715535702484e+03	(-1.24987045125149e+01dB,1.01015335502169e+02°)
2.56555450740267e+03	(-1.33254053595729e+01dB,9.76697397596828e+01°)
2.62531394873945e+03	(-1.41578011568008e+01dB,9.44651310452274e+01°)
2.68646536628200e+03	(-1.49946325961466e+01dB,9.13944674431559e+01°)
2.74904118332132e+03	(-1.58348328710381e+01dB,8.84507290252769e+01°)
2.81307457838389e+03	(-1.66775035517202e+01dB,8.56270398727148e+01°)
2.87859950282338e+03	(-1.75218919765923e+01dB,8.29167525711077e+01°)
2.94565069882202e+03	(-1.83673706527957e+01dB,8.03135033674709e+01°)
3.01426371781148e+03	(-1.92134188701101e+01dB,7.78112449489937e+01°)
3.08447493932262e+03	(-2.00596065413055e+01dB,7.54042625564033e+01°)
3.15632159027444e+03	(-2.09055801643711e+01dB,7.30871779940785e+01°)
3.22984176471228e+03	(-2.17510507363231e+01dB,7.08549450993968e+01°)
3.30507444400579e+03	(-2.25957834179709e+01dB,6.87028393995682e+01°)
3.38205951751733e+03	(-2.34395887416631e+01dB,6.66264440083585e+01°)
3.46083780375191e+03	(-2.42823151607589e+01dB,6.46216332799460e+01°)
3.54145107199965e+03	(-2.51238427542095e+01dB,6.26845553211296e+01°)
3.62394206448240e+03	(-2.59640779181180e+01dB,6.08116141447214e+01°)
3.70835451901629e+03	(-2.68029488958228e+01dB,5.89994520066468e+01°)
3.79473319220204e+03	(-2.76404020173510e+01dB,5.72449322902581e+01°)
3.88312388315552e+03	(-2.84763985370962e+01dB,5.55451231697416e+01°)
3.97357345779107e+03	(-2.93109119748538e+01dB,5.38972821890502e+01°)
4.06612987367041e+03	(-3.01439258797332e+01dB,5.22988418246810e+01°)
4.16084220543036e+03	(-3.09754319489889e+01dB,5.07473960529198e+01°)
4.25776067080289e+03	(-3.18054284445717e+01dB,4.92406879096112e+01°)
4.35693665724119e+03	(-3.26339188593775e+01dB,4.77765980090235e+01°)
4.45842274916605e+03	(-3.34609107929382e+01dB,4.63531339749231e+01°)
4.56227275584671e+03	(-3.42864150028439e+01dB,4.49684207292725e+01°)
4.66854173993134e+03	(-3.51104446036808e+01dB,4.36206915803146e+01°)
4.77728604664194e+03	(-3.59330143898668e+01dB,4.23082800509602e+01°)
4.88856333364933e+03	(-3.67541402626155e+01dB,4.10296123894362e+01°)
5.00243260164400e+03	(-3.75738387444637e+01dB,3.97832007064187e+01°)
5.11895422561909e+03	(-3.83921265674766e+01dB,3.85676366858851e+01°)
5.23818998688197e+03	(-3.92090203234782e+01dB,3.73815858203464e+01°)
5.36020310581153e+03	(-4.00245361665127e+01dB,3.62237821247130e+01°)
5.48505827537847e+03	(-4.08386895593006e+01dB,3.50930232866646e+01°)
5.61282169544635e+03	(-4.16514950567475e+01dB,3.39881662149087e+01°)
5.74356110787163e+03	(-4.24629661206507e+01dB,3.29081229500726e+01°)
5.87734583242132e+03	(-4.32731149606530e+01dB,3.18518569061302e+01°)
6.01424680352724e+03	(-4.40819523972586e+01dB,3.08183794132043e+01°)
6.15433660789635e+03	(-4.48894877433595e+01dB,2.98067465352890e+01°)
6.29768952299724e+03	(-4.56957287012608e+01dB,2.88160561389265e+01°)
6.44438155644300e+03	(-4.65006812726442e+01dB,2.78454451911312e+01°)
6.59449048629146e+03	(-4.73043496792910e+01dB,2.68940872669195e+01°)
6.74809590228415e+03	(-4.81067362927082e+01dB,2.59611902486636e+01°)
6.90527924804584e+03	(-4.89078415710761e+01dB,2.50459942011828e+01°)
7.06612386426703e+03	(-4.97076640021672e+01dB,2.41477694080040e+01°)
7.23071503289225e+03	(-5.05062000510861e+01dB,2.32658145556034e+01°)
7.39914002233774e+03	(-5.13034441118477e+01dB,2.23994550536804e+01°)
7.57148813376228e+03	(-5.20993884619601e+01dB,2.15480414806314e+01°)
7.74785074841582e+03	(-5.28940232193001e+01dB,2.07109481443995e+01°)
7.92832137609111e+03	(-5.36873363006817e+01dB,1.98875717497827e+01°)
8.11299570470374e+03	(-5.44793133816089e+01dB,1.90773301641000e+01°)
8.30197165102719e+03	(-5.52699378567907e+01dB,1.82796612738524e+01°)
8.49534941260961e+03	(-5.60591908010652e+01dB,1.74940219256767e+01°)
8.69323152089983e+03	(-5.68470509304471e+01dB,1.67198869454901e+01°)
8.89572289561096e+03	(-5.76334945630684e+01dB,1.59567482302604e+01°)
9.10293090035015e+03	(-5.84184955798365e+01dB,1.52041139073220e+01°)
9.31496539954425e+03	(-5.92020253846779e+01dB,1.44615075565938e+01°)
9.53193881669132e+03	(-5.99840528642822e+01dB,1.37284674914493e+01°)
9.75396619396913e+03	(-6.07645443472986e+01dB,1.30045460943400e+01°)
9.98116525323199e+03	(-6.15434635629774e+01dB,1.22893092035914e+01°)
1.02136564584285e+04	(-6.23207715992823e+01dB,1.15823355480737e+01°)
1.04515630794729e+04	(-6.30964268605347e+01dB,1.08832162267022e+01°)
1.06950112576049e+04	(-6.38703850246842e+01dB,1.01915542299478e+01°)
1.09441300722708e+04	(-6.46425990003310e+01dB,9.50696400073809e+00°)
1.11990516095638e+04	(-6.54130188836588e+01dB,8.82907103230236e+00°)
1.14599110322572e+04	(-6.61815919154649e+01dB,8.15751150067025e+00°)
1.17268466514697e+04	(-6.69482624385102e+01dB,7.49193192966329e+00°)
1.19999999999999e+04	(-6.77129718554374e+01dB,6.83198888633290e+00°)
1.22795159073690e+04	(-6.84756585875411e+01dB,6.17734870489170e+00°)
1.25655425766107e+04	(-6.92362580347013e+01dB,5.52768723726253e+00°)
1.28582316628512e+04	(-6.99947025368259e+01dB,4.88268962843014e+00°)
