Freq.	V(out)
3.90894888382323e+01	(4.53281306661428e-02dB,-1.00405796589418e+02°)
3.99999999999999e+01	(3.26089244290422e-02dB,-1.03176911876761e+02°)
4.09317196912300e+01	(1.63695778904661e-02dB,-1.06051290950346e+02°)
4.18851419220358e+01	(-4.11178564039700e-03dB,-1.09034341316235e+02°)
4.28607722095041e+01	(-2.96873888195327e-02dB,-1.12131600567407e+02°)
4.38591278457273e+01	(-6.13583839877705e-02dB,-1.15348647935379e+02°)
4.48807381720784e+01	(-1.00294037598369e-01dB,-1.18690982172443e+02°)
4.59261448598752e+01	(-1.47850542494483e-01dB,-1.22163858937641e+02°)
4.69959021975810e+01	(-2.05588016925839e-01dB,-1.25772081152004e+02°)
4.80905773846964e+01	(-2.75283689018357e-01dB,-1.29519737124017e+02°)
4.92107508324951e+01	(-3.58938650112517e-01dB,-1.33409884109821e+02°)
5.03570164717665e+01	(-4.58774968820902e-01dB,-1.37444179869506e+02°)
5.15299820677252e+01	(-5.77219523797696e-01dB,-1.41622472100748e+02°)
5.27302695422561e+01	(-7.16870830825049e-01dB,-1.45942365423955e+02°)
5.39585153036660e+01	(-8.80445647557401e-01dB,-1.50398797269633e+02°)
5.52153705841152e+01	(-1.07070347358238e+00dB,-1.54983666044753e+02°)
5.65015017849100e+01	(-1.29034937185565e+00dB,-1.59685564691583e+02°)
5.78175908298369e+01	(-1.54191876143623e+00dB,-1.64489676656802e+02°)
5.91643355267281e+01	(-1.82765159562806e+00dB,-1.69377885676884e+02°)
6.05424499374481e+01	(-2.14936691431171e+00dB,-1.74329133172200e+02°)
6.19526647564990e+01	(-2.50835116508417e+00dB,-1.79320027715426e+02°)
6.33957276984443e+01	(-2.90527397180116e+00dB,1.75674325859732e+02°)
6.48724038943569e+01	(-3.34014264508240e+00dB,1.70679346887717e+02°)
6.63834762975022e+01	(-3.81230185816103e+00dB,1.65719945301745e+02°)
6.79297460984695e+01	(-4.32047853010977e+00dB,1.60819540702729e+02°)
6.95120331499748e+01	(-4.86286556712667e+00dB,1.55999230775852e+02°)
7.11311764015566e+01	(-5.43723321492294e+00dB,1.51277178653418e+02°)
7.27880343443991e+01	(-6.04105435722730e+00dB,1.46668252139928e+02°)
7.44834854665144e+01	(-6.67163034807905e+00dB,1.42183910764633e+02°)
7.62184287185296e+01	(-7.32620635023536e+00dB,1.37832307171964e+02°)
7.79937839903215e+01	(-8.00206871830793e+00dB,1.33618551591652e+02°)
7.98104925987549e+01	(-8.69662073213387e+00dB,1.29545082380066e+02°)
8.16695177867808e+01	(-9.40743621943573e+00dB,1.25612089431715e+02°)
8.35718452341612e+01	(-1.01322929274567e+01dB,1.21817946946908e+02°)
8.55184835800889e+01	(-1.08691888490086e+01dB,1.18159624057531e+02°)
8.75104649579817e+01	(-1.16163452249357e+01dB,1.14633053505292e+02°)
8.95488455427332e+01	(-1.23721998683385e+01dB,1.11233448388241e+02°)
9.16347061107105e+01	(-1.31353940250193e+01dB,1.07955564342421e+02°)
9.37691526127965e+01	(-1.39047553939776e+01dB,1.04793909450244e+02°)
9.59533167607792e+01	(-1.46792793161204e+01dB,1.01742907052457e+02°)
9.81883566274008e+01	(-1.54581095781265e+01dB,9.87970179914796e+01°)
1.00475457260383e+02	(-1.62405198088644e+01dB,9.59508291160245e+01°)
1.02815831310754e+02	(-1.70258960771493e+01dB,9.31991145319525e+01°)
1.05210719675815e+02	(-1.78137210251905e+01dB,9.05368753914059e+01°)
1.07661392157076e+02	(-1.86035596775564e+01dB,8.79593631765470e+01°)
1.10169148133526e+02	(-1.93950469345311e+01dB,8.54620905846787e+01°)
1.12735317250578e+02	(-2.01878766758930e+01dB,8.30408333316499e+01°)
1.15361260125064e+02	(-2.09817923532002e+01dB,8.06916254957951e+01°)
1.18048369066655e+02	(-2.17765789250515e+01dB,7.84107504367763e+01°)
